start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
2805:a4c0:8000::,2805:a4c0:bfff:ffff:ffff:ffff:ffff:ffff,2805:a4c0:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
97.127.236.111,97.127.236.111,97.127.0.0,Bettendorf,Iowa,US,41.52448,-90.51569,52722,America/Chicago
2403:f701:8000::,2403:f701:bfff:ffff:ffff:ffff:ffff:ffff,2403:f701:8000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
191.131.48.180,191.131.48.183,191.131.0.0,Santa Luzia,Minas Gerais,BR,-19.76972,-43.85139,33000-000,America/Sao_Paulo
2001:268:9680:fb00::,2001:268:9680:fbff:ffff:ffff:ffff:ffff,2001:268:8000::,Osaka,Osaka,JP,34.69379,135.50107,543-0062,Asia/Tokyo
2405:204:3024:3a00::,2405:204:3024:3aff:ffff:ffff:ffff:ffff,2405:204::,Pallāvaram,Tamil Nadu,IN,12.96796,80.15025,600043,Asia/Kolkata
68.1.0.135,68.1.0.135,68.1.0.0,Atlanta,Georgia,US,33.749,-84.38798,30302,America/New_York
65.153.33.96,65.153.33.127,65.153.0.0,Kissimmee,Florida,US,28.30468,-81.41667,34741,America/New_York
2c04:a15d:4000::,2c04:a15d:7fff:ffff:ffff:ffff:ffff:ffff,2c04:a15d:4000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
263c:e8da:c000::,263c:e8da:ffff:ffff:ffff:ffff:ffff:ffff,263c:e8da:c000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
241a:ca79:4000::,241a:ca79:7fff:ffff:ffff:ffff:ffff:ffff,241a:ca79:4000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
280a:2208::,280a:2208:3fff:ffff:ffff:ffff:ffff:ffff,280a:2208::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
260e:284:4000::,260e:284:7fff:ffff:ffff:ffff:ffff:ffff,260e:284:4000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2001:268:9061:3e00::,2001:268:9061:3fff:ffff:ffff:ffff:ffff,2001:268:8000::,Tokyo,Tokyo,JP,35.6895,139.69171,101-8656,Asia/Tokyo
187.239.251.167,187.239.251.173,187.239.0.0,Tlalpan,Mexico City,MX,19.2973,-99.183,14060,America/Mexico_City
2409:4061:10f:900::,2409:4061:10f:9ff:ffff:ffff:ffff:ffff,2409:4061::,Durgapur,West Bengal,IN,23.51583,87.30801,742187,Asia/Kolkata
178.168.10.0,178.168.10.255,178.168.0.0,Chisinau,Chișinău Municipality,MD,47.00556,28.8575,MD-2000,Europe/Chisinau
67.235.207.46,67.235.207.46,67.235.0.0,Orlando,Florida,US,28.53834,-81.37924,32801,America/New_York
